,fips,abbr,full,pop_2015,mwr
1,1,AL,Alabama,4858979,0
2,2,AK,Alaska,738432,0
3,4,AZ,Arizona,6828065,0
4,5,AR,Arkansas,2978204,0
5,6,CA,California,39144818,1
6,8,CO,Colorado,5456574,0
7,9,CT,Connecticut,3590886,0
8,10,DE,Delaware,945934,1
9,11,DC,District of Columbia,672228,0
10,12,FL,Florida,20271272,0
11,13,GA,Georgia,10214860,0
12,15,HI,Hawaii,1431603,0
13,16,ID,Idaho,1654930,0
14,17,IL,Illinois,12859995,1
15,18,IN,Indiana,6619680,0
16,19,IA,Iowa,3123899,0
17,20,KS,Kansas,2911641,0
18,21,KY,Kentucky,4425092,0
19,22,LA,Louisiana,4670724,0
20,23,ME,Maine,1329328,1
21,24,MD,Maryland,6006401,1
22,25,MA,Massachusetts,6794422,1
23,26,MI,Michigan,9922576,1
24,27,MN,Minnesota,5489594,0
25,28,MS,Mississippi,2992333,0
26,29,MO,Missouri,6083672,0
27,30,MT,Montana,1032949,0
28,31,NE,Nebraska,1896190,0
29,32,NV,Nevada,2890845,0
30,33,NH,New Hampshire,1330608,0
31,34,NJ,New Jersey,8958013,0
32,35,NM,New Mexico,2085109,1
33,36,NY,New York,19795791,1
34,37,NC,North Carolina,10042802,0
35,38,ND,North Dakota,756927,0
36,39,OH,Ohio,11613423,0
37,40,OK,Oklahoma,3911338,0
38,41,OR,Oregon,4028977,0
39,42,PA,Pennsylvania,12802503,0
40,44,RI,Rhode Island,1056298,1
41,45,SC,South Carolina,4896146,0
42,46,SD,South Dakota,858469,0
43,47,TN,Tennessee,6600299,0
44,48,TX,Texas,27469114,0
45,49,UT,Utah,2995919,0
46,50,VT,Vermont,626042,0
47,51,VA,Virginia,8382993,1
48,53,WA,Washington,7170351,0
49,54,WV,West Virginia,1844128,0
50,55,WI,Wisconsin,5771337,0
51,56,WY,Wyoming,586107,0
